,,,,
ESTADÍSTICAS DE VIOLENCIA INTRAFAMILIAR 2010,,,,
Valores de las variables,,,,
,,,,
Código,Descripción del código,Valor,Etiqueta,
,,1004,San Bernardino,
,,1005,San José El Idolo,
,,1006,Santo Domingo Suchitepéquez,
,,1007,San Lorenzo,
,,1008,Samayac,
,,1009,San Pablo Jocopilas,
,,1010,San Antonio Suchitepéquez,
,,1011,San Miguel Panán,
,,1012,San Gabriel,
,,1013,Chicacao,
,,1014,Patulul,
,,1015,Santa Bárbara,
,,1016,San Juan Bautista,
,,1017,Santo Tomás La Unión,
,,1018,Zunilito,
,,1019,Pueblo Nuevo ,
,,1020,Rio Bravo,
,,1101,Retalhuleu,
,,1102,San Sebastián,
,,1103,Santa Cruz Muluá,
,,1104,San Martín Zapotitlán,
,,1105,San Felipe,
,,1106,San Andrés Villa Seca,
,,1107,Champerico,
,,1108,Nuevo San Carlos,
,,1109,El Asintal,
,,1201,San Marcos,
,,1202,San Pedro Sacatepéquez,
,,1203,San Antonio Sacatepéquez,
,,1204,Comitancillo,
,,1205,San Miguel Ixtahuacán,
,,1206,Concepción Tutuapa,
,,1207,Tacaná,
,,1208,Sibinal,
,,1209,Tajumulco,
,,1210,Tejutla,
,,1211,San Rafael Pié de La Cuesta,
,,1212,Nuevo Progreso,
,,1213,El Tumbador,
,,1214,El Rodeo,
,,1215,Malacatán,
,,1216,Catarina,
,,1217,Ayutla,
,,1218,Ocós,
,,1219,San Pablo,
,,1220,El Quetzal,
,,1221,La Reforma,
,,1222,Pajapita,
,,1223,Ixchiguán,
,,1224,San José Ojetenam,
,,1225,San Cristóbal Cucho,
,,1226,Sipacapa,
,,1227,Esquipulas Palo Gordo,
,,1228,Rio Blanco,
,,1229,San Lorenzo,
,,1301,Huehuetenango,
,,1302,Chiantla,
,,1303,Malacatancito,
,,1304,Cuilco,
,,1305,Nentón,
,,1306,San Pedro Necta,
,,1307,Jacaltenango,
,,1308,Soloma,
,,1309,Ixtahuacán,
,,1310,Santa Bárbara,
,,1311,La Libertad,
,,1312,La Democracia,
,,1313,San Miguel Acatán,
,,1314,San Rafael La Independencia,
,,1315,Todos Santos Cuchumatán,
,,1316,San Juan Atitán,
,,1317,Santa Eulalia,
,,1318,San Mateo Ixtatán,
,,1319,Colotenango,
,,1320,San Sebastián Huehuetenango,
,,1321,Tectitán,
,,1322,Concepción Huista,
,,1323,San Juan Ixcoy,
,,1324,San Antonio Huista,
,,1325,San Sebastián Coatán,
,,1326,Barillas,
,,1327,Aguacatán,
,,1328,San Rafael Petzal,
,,1329,San Gaspar Ixchil,
,,1330,Santiago Chimaltenango,
,,1331,Santa Ana Huista,
,,1332,Unión Cantinil,
,,1401,Santa Cruz del Quiché,
,,1402,Chiché,
,,1403,Chinique,
,,1404,Zacualpa,
,,1405,Chajul,
,,1406,Chichicastenango,
,,1407,Patzité,
,,1408,San Antonio Ilotenango,
,,1409,San Pedro Jocopilas,
,,1410,Cunén,
,,1411,San Juan Cotzal,
,,1412,Joyabaj,
,,1413,Nebaj,
,,1414,San Andrés Sajcabajá,
,,1415,Uspantán,
,,1416,Sacapulas,
,,1417,San Bartolomé Jocotenango,
,,1418,Canillá,
,,1419,Chicamán,
,,1420,Ixcán,
,,1421,Pachalum,
,,1501,Salamá,
,,1502,San Miguel Chicaj,
,,1503,Rabinal,
,,1504,Cubulco,
,,1505,Granados,
,,1506,El Chol,
,,1507,San Jerónimo,
,,1508,Purulhá,
,,1601,Cobán,
,,1602,Santa Cruz Verapaz,
,,1603,San Cristóbal Verapaz,
,,1604,Tactic,
,,1605,Tamahú,
,,1606,Tucurú,
,,1607,Panzós,
,,1608,Senahú,
,,1609,San Pedro Carchá,
,,1610,San Juan Chamelco,
,,1611,Lanquín,
,,1612,Cahabón,
,,1613,Chisec,
,,1614,Chahal,
,,1615,Fray Bartolomé de Las Casas,
,,1616,Santa Catalina la Tinta,
,,1617,Raxruhá,
,,1701,Flores,
,,1702,San José,
,,1703,San Benito,
,,1704,San Andrés,
,,1705,La Libertad,
,,1706,San Francisco,
,,1707,Santa Ana,
,,1708,Dolores,
,,1709,San Luis,
,,1710,Sayaxché,
,,1711,Melchor de Mencos,
,,1712,Poptún,
,,1801,Puerto Barrios,
,,1802,Livingston,
,,1803,El Estor,
,,1804,Morales,
,,1805,Los Amates,
,,1901,Zacapa,
,,1902,Estanzuela,
,,1903,Río Hondo,
,,1904,Gualán,
,,1905,Teculután,
,,1906,Usumatlán,
,,1907,Cabañas,
,,1908,San Diego,
,,1909,La Unión,
,,1910,Huité,
,,2001,Chiquimula,
,,2002,San José La Arada,
,,2003,San Juan Erminta,
,,2004,Jocotán,
,,2005,Camotán,
,,2006,Olopa,
,,2007,Esquipulas,
,,2008,Concepción Las Minas,
,,2009,Quetzaltepeque,
,,2010,San Jacinto,
,,2011,Ipala,
,,2101,Jalapa,
,,2102,San Pedro Pinula,
,,2103,San Luis Jilotepeque,
,,2104,San Manuel Chaparrón,
,,2105,San Carlos Alzatate,
,,2106,Monjas,
,,2107,Mataquescuintla,
,,2201,Jutiapa,
,,2202,El Progreso,
,,2203,Santa Catarina Mita,
,,2204,Agua Blanca,
,,2205,Asunción Mita,
,,2206,Yupiltepeque,
,,2207,Atescatempa,
,,2208,Jerez,
,,2209,El Adelanto,
,,2210,Zapotitlán,
,,2211,Comapa,
,,2212,Jalpatagua,
,,2213,Conguaco,
,,2214,Moyuta,
,,2215,Pasaco,
,,2216,San José Acatempa,
,,2217,Quesada,
,,,,
QUIEN_REPORTA,Persona que reporta el hecho,1,Víctima,
,,2,Familiar de la víctima,
,,3,Otro,
,,9,Ignorado,
,,,,
DATOS GENERALES DE LA VÍCTIMA,,,,
,,,,
VIC_SEXO,Sexo de la víctima,1,Hombres ,
,,2,Mujeres,
,,,,
VIC_EDAD,Edad de la víctima,1 a 98,Edad de la víctima,
,,99,Edad ignorada de la víctima,
,,,,
TOTAL_HIJOS,Suma  de Hijos hombres e hijas mujeres,00 a 20,Total de hijos e hijas,
,,99,Ignorado,
,,,,
NUM_HIJ_HOM,Número de hijos hombres de la víctima,00 a 20,Hijos hombres,
,,99,Ignorado,
,,,,
NUM_HIJ_MUJ,Número de hijas mujeres de la víctima,00 a 20,Hijas mujeres,
,,99,Ignorado,
,,,,
VIC_ALFAB,Sabe leer y escribir,1,Alfabeta,
,,2,Analfabeta,
,,9,Ignorado,
,,,,
VIC_ESCOLARIDAD,Nivel de escolaridad de la víctima,10,Ninguno,
,,21 a 26,Primero a sexto primaria,
,,29,Primaria (grado ignorado),
,,31 a 33,Primero a tercero básico,
,,39,Básico (grado ignorado),
,, 44 a 46,Cuarto a sexto diversificado,
,,49,Diversificado (grado ignorado),
,,51 a  57,Primer año a septimo universitario (Incluye maestría),
,,59,Universitario (año ignorado),
,,99,Ignorado (tanto nivel como grado),
,,,,
VIC_EST_CIV,Estado conyugal de la víctima,1,Solteros(as) ,
,,2,Casados(as) ,
,,3,Unidos(as) ,
,,4,Viudos(as) ,
,,5,Otro,
,,9,Ignorado,
,,,,
VIC_GRUPET,Pueblo de pertenencia de la víctima,1,Ladinos(as) ,
,,2,Mayas,
,,3,Garifunas,
,,4,Xinkas,
,,5,Otros,
,,6,No indica,
,,9,Ignorado,
,,,,
VIC_NACIONAL,Nacionalidad de la víctima,1,Guatemalteca,
,,2,Extranjera,
,,9,Ignorado,
,,,,
VIC_TRABAJA,Condición de empleo de la víctima,1,Si trabaja por un salario o ingreso,
,,2,No trabaja por un salario o ingreso,
,,9,Ignorado,
,,,,
VIC_OCUP,"Ocupación de la víctima (con salario o ingreso dentro o fuera de la casa), Clasificación Internacional Uniforme de Ocupaciones -CIUO- 88",110,Fuerzas armadas,
,,110,Ametrallador,
,,110,"Artillero, ejercito",
,,110,Cabo,
,,110,Capitán de aeropuerto,
,,110,"Capitán general, puerto",
,,110,"Capitán, ejercito",
,,110,"Capitán, puerto con grado militar",
,,110,Comandante de policía militar,
,,110,Comandante de zona militar,
,,110,"Comisionado, militar",
,,110,Corneta,
,,110,Coronel,
,,110,Fusilero,
,,110,General,
,,110,"Ingeniero, militar",
,,110,Mayor (militar),
,,110,Sargento,
,,110,Soldado,
,,110,Sub-teniente,
,,110,Teniente,
,,110,Teniente coronel,
,,1110,Miembros del poder ejecutivo y de los cuerpos legislativos,
,,1110,Alcalde,
,,1110,Alcalde auxiliar,
,,1110,Alcalde municipal,
,,1110,Canciller,
,,1110,Concejal municipal,
,,1110,Concejal,
,,1110,Consejero de estado,
,,1110,Consejero de gobierno,
,,1110,Diplomático,
,,1110,Diputado,
,,1110,Gobernador departamental,
,,1110,Jefe de estado,
,,1110,Legislador,
,,1110,Ministro de estado,
,,1110,Ministro de gobierno,
,,1110,Presidente de la república,
,,1110,"Presidente, cámara de diputados",
,,1110,"Presidente, organismo ejecutivo",
,,1110,"Presidente, organismo judicial",
,,1110,"Presidente, organismo legislativo",
,,1110,"Presidente, senado",
,,1110,Primer ministro,
,,1110,Regidor,
,,1110,Registrador civil,
,,1110,Registrador electoral,
,,1110,Registrador general de la propiedad inmueble,
,,1110,Registrador mercantil,
,,1110,"Representante, del ministerio público",
,,1110,Senador,
,,1110,Sindico,
,,1110,Tesorero municipal,
,,1110,Tesorero nacional,
,,1110,Vice-ministro,
,,1110,Vice-presidente del organismo ejecutivo,
,,1110,Vice-presidente del organismo judicial,
,,1110,Vice-presidente del organismo legislativo,
,,1120,Personal directivo de la administración pública,
,,1120,Administrador de aduanas,
,,1120,Administrador de correos del gobierno,
,,1120,Administrador de hospitales nacionales,
,,1120,Administrador de mercado municipal,
,,1120,Administrador de municipalidad,
,,1120,Administrador de organización intergubernamental,
,,1120,Administrador de rentas,
,,1120,Agente de agregado cultural,
,,1120,"Auditor general, administración pública",
,,1120,"Comisario general, policía nacional",
,,1120,Cónsul general,
,,1120,Contador general de la nación,
,,1120,"Contralor, cuentas",
,,1120,"Delegado, migración",
,,1120,Director general organización intergubernamental,
,,1120,"Director general, administración de correos",
,,1120,"Director general, administración penitenciaria",
,,1120,"Director general, administración pública",
,,1120,"Director general, administración pública / ministerio",
,,1120,"Director general, administración pública / región",
,,1120,"Director general, cancillería",
,,1120,"Director general, estado",
,,1120,Embajador,
,,1120,Encargado de negocios embajada,
,,1120,"Inspector, general de policía nacional",
,,1120,Interventor de cuentas administración pública,
,,1120,Interventor general,
,,1120,Jefe de brigadas sanitarias,
,,1120,Jefe de departamento administración pública,
,,1120,Jefe de sección (estado),
,,1120,Ministro plenipotenciario,
,,1120,Pagador general administración pública,
,,1120,Prefecto,
,,1120,"Secretario, de embajada",
,,1120,"Secretario, de estado",
,,1120,"Secretario, general adjunto administración pública",
,,1120,"Secretario, general administración pública",
,,1120,"Secretario, municipal",
,,1120,"Subsecretario, administración pública",
,,1120,"Subsecretario, estado",
,,1120,Vice-cónsul,
,,1130,Jefes de pequeñas poblaciones,
,,1130,Jefe de pueblo,
,,1130,Jefe de tradicional pequeña población,
,,1130,Ministril o auxiliar (aldea o finca),
,,1141,Dirigentes y administradores de partidos políticos,
,,1141,Dirigente de partido político,
,,1141,"Presidente, partido político",
,,1141,"Secretario, general partido político",
,,1142,"Dirigentes y administradores de organizaciones de empleadores, de trabajadores y de otras de interés socioeconómico",
,,1142,Dirigente de organización de empleadores,
,,1142,Dirigente de sindicato de trabajadores,
,,1142,"Presidente, organización de empleadores",
,,1142,"Secretario, general organización de empleadores",
,,1142,"Secretario, general sindicato de trabajadores",
,,1142,"Secretario, organización de empleadores",
,,1142,"Secretario, sindicato de trabajadores",
,,1143,Dirigentes y administradores de organizaciones humanitarias y de otras organizaciones especializadas,
,,1143,Dirigente de organización humanitaria,
,,1143,Dirigente de organización socioeconómica especializada,
,,1143,"Secretario, general cruz roja",
,,1143,"Secretario, general media luna roja",
,,1143,"Secretario, general organización de derechos humanos",
,,1143,"Secretario, general organización de protección de la fauna",
,,1143,"Secretario, general organización de protección de la naturaleza",
,,1143,"Secretario, general organización e protección del medio ambiente",
,,1143,"Secretario, general organización ecologista",
,,1143,"Secretario, general organización humanitaria",
,,1143,"Secretario, general organización socioeconómica especializada",
,,1210,Directores generales y gerentes generales de empresas,
,,1210,Administrador de lavandería,
,,1210,Administrador de teatro,
,,1210,Cancelario de universidad,
,,1210,Director general empresa actividades culturales,
,,1210,Director general empresa actividades deportivas,
,,1210,Director general empresa actividades recreativas,
,,1210,Director general empresa agencias de viajes,
,,1210,Director general empresa agricultura,
,,1210,Director general empresa almacenamiento,
,,1210,Director general empresa caza,
,,1210,Director general empresa comercio mayorista,
,,1210,Director general empresa comercio minorista,
,,1210,Director general empresa comunicaciones,
,,1210,Director general empresa construcción y obras públicas,
,,1210,Director general empresa cuidados personales,
,,1210,Director general empresa enseñanza,
,,1210,Director general empresa explotación forestal,
,,1210,Director general empresa hostelería,
,,1210,Director general empresa industrias manufactureras,
,,1210,Director general empresa intermediación,
,,1210,Director general empresa limpieza,
,,1210,Director general empresa pesca,
,,1210,Director general empresa restauración,
,,1210,Director general empresa servicios a las empresas,
,,1210,Director general empresa servicios de sanidad,
,,1210,Director general empresa silvicultura,
,,1210,Director general empresa trabajo social,
,,1210,Director general empresa transporte,
,,1210,Director general organización actividades culturales,
,,1210,Director general organización actividades recreativas,
,,1210,Director general organización administración pública,
,,1210,Director general organización caza,
,,1210,Director general organización comercio mayorista,
,,1210,Director general organización comercio minorista,
,,1210,Director general organización deportivas,
,,1210,Director general organización educación,
,,1210,Director general organización enseñanza,
,,1210,Director general organización hostelería,
,,1210,Director general organización instituciones extraterritoriales,
,,1210,Director general organización ocio,
,,1210,Director general organización pesca,
,,1210,Director general organización restaurantes,
,,1210,Director general organización salud,
,,1210,Director general organización silvicultura,
,,1210,Director general organización trabajo social,
,,1210,Director general organización transporte,
,,1210,Dueño de empresa de construcción,
,,1210,Gerente de empresa manufacturera,
,,1210,"Gerente general, empresa de actividades culturales",
,,1210,"Gerente general, empresa de actividades deportivas",
,,1210,"Gerente general, empresa de actividades recreativas",
,,1210,"Gerente general, empresa de agencia de viajes",
,,1210,"Gerente general, empresa de agricultura",
,,1210,"Gerente general, empresa de almacenamiento",
,,1210,"Gerente general, empresa de caza",
,,1210,"Gerente general, empresa de comercio mayorista",
,,1210,"Gerente general, empresa de comercio minorista",
,,1210,"Gerente general, empresa de comunicaciones",
,,1210,"Gerente general, empresa de construcción y obras públicas",
,,1210,"Gerente general, empresa de cuidados personales",
,,1210,"Gerente general, empresa de enseñanza",
,,1210,"Gerente general, empresa de hostelería",
,,1210,"Gerente general, empresa de industrias manufactureras",
,,1210,"Gerente general, empresa de intermediación",
,,1210,"Gerente general, empresa de limpieza",
,,1210,"Gerente general, empresa de pesca",
,,1210,"Gerente general, empresa de restauración",
,,1210,"Gerente general, empresa de servicios a las empresas",
,,1210,"Gerente general, empresa de silvicultura",
,,1210,"Gerente general, empresa de trabajo social",
,,1210,"Gerente general, empresa de transporte",
,,1210,"Gerente general, organización de actividades culturales",
,,1210,"Gerente general, organización de actividades deportivas",
,,1210,"Gerente general, organización de actividades recreativas",
,,1210,"Gerente general, organización de administración pública",
,,1210,"Gerente general, organización de caza",
,,1210,"Gerente general, organización de comercio mayorista",
,,1210,"Gerente general, organización de comercio minorista",
,,1210,"Gerente general, organización de educación",
,,1210,"Gerente general, organización de enseñanza",
,,1210,"Gerente general, organización de hostelería",
,,1210,"Gerente general, organización de instituciones extraterritoriales",
,,1210,"Gerente general, organización de pesca",
,,1210,"Gerente general, organización de restaurante",
,,1210,"Gerente general, organización de servicios de sanidad",
,,1210,"Gerente general, organización de silvicultura",
,,1210,"Gerente general, organización de trabajo social",
,,1210,"Gerente general, organización de transporte",
,,1210,"Presidente, empresa",
,,1210,"Presidente, empresa manufacturera",
,,1210,"Presidente, organización",
,,1210,"Propietario, cine",
,,1210,"Propietario, teatro",
,,1210,"Rector, universidad",
,,1221,"Directores de departamento de producción y operaciones, agricultura, caza, silvicultura y pesca",
,,1221,Director de departamento de producción y operaciones de agricultura,
,,1221,Director de departamento de producción y operaciones de silvicultura,
,,1221,Director de departamento operaciones de caza,
,,1221,Director de departamento operaciones de pesca,
,,1221,Director de explotación agrícola,
,,1222,"Directores de departamento de producción y operaciones, industrias manufacturera",
,,1222,Director de departamento operaciones de industria manufacturera,
,,1223,"Directores de departamento de producción y operaciones, construcción y obras públicas ",
,,1223,Director de departamento operaciones de construcción obras públicas,
,,1224,"Directores de departamento de producción y operaciones, comercio mayorista y minorista",
,,1224,Director de departamento operaciones de comercio (exportación),
,,1224,Director de departamento operaciones de comercio (importación),
,,1224,Director de departamento operaciones de comercio (tienda),
,,1224,Director de departamento operaciones de comercio mayorista,
,,1224,Director de departamento operaciones de comercio minorista,
,,1224,Director de departamento operaciones de comercio supermercados,
,,1225,"Directores de departamento de producción y operaciones, restauración y hotelería",
,,1225,Director de departamento operaciones de hostelería,
,,1225,Director de departamento operaciones de restauración,
,,1226,"Directores de departamento de producción y operaciones, transporte, almacenamiento",
,,1226,"Accionista, empresa de transporte",
,,1226,Administrador de empresa de transporte,
,,1226,Director de departamento de producción y operaciones de transporte,
,,1226,Director de departamento operaciones de almacenamiento,
,,1226,Director de departamento operaciones de comunicaciones,
,,1226,Director de departamento operaciones de correos,
,,1226,Director de departamento operaciones de telecomunicaciones,
,,1226,Jefe de estación ferrocarril,
,,1226,Jefe de movimientos de trenes,
,,1226,Jefe de oficina de correos,
,,1226,Jefe de oficina postal,
,,1226,Jefe de servicios de transporte aéreo,
,,1226,Jefe de servicios de transporte ferroviario,
,,1226,Jefe de servicios de transportes por carretera,
,,1226,Jefe de servicios postales,
,,1226,"Propietario, empresa de transporte",
,,1227,"Directores de departamento de producción y operaciones, empresas de intermediación",
,,1227,Director de departamento de producción y operaciones de servicio a las empresas,
,,1227,Director de departamento de producción y operaciones de servicios de intermediación ,
,,1228,"Directores de departamento de producción y operaciones, servicios de cuidados personales, limpieza y servicios similares",
,,1228,Director de departamento operaciones de cuidados personales,
,,1228,Director de departamento operaciones de limpieza,
,,1229,"Directores de departamento de producción y operaciones, no clasificados bajo otros epígrafes",
,,1229,Administrador de bar,
,,1229,Administrador de cine,
,,1229,Administrador de club deportivo,
,,1229,Administrador de televisoras,
,,1229,Decano,
,,1229,Decano facultad,
,,1229,Director de departamento de actividades culturales,
,,1229,Director de departamento de actividades deportivas,
,,1229,Director de departamento de administración pública,
,,1229,Director de departamento de agencia de viajes,
,,1229,Director de departamento de producción y operaciones de servicios de sanidad,
,,1229,Director de departamento de producción y operaciones de trabajo social,
,,1229,Director de departamento de salud,
,,1229,Director de departamento operaciones de actividades recreativas,
,,1229,Director de departamento operaciones de enseñanza,
,,1229,Director de departamento operaciones de espectáculos,
,,1229,Director de departamento operaciones de extraterritoriales,
,,1229,Director de enseñanza secundaria,
,,1229,Director de estudios escuela,
,,1229,Director de plato cine,
,,1229,Director teatral,
,,1229,"Director, escuela primaria",
,,1229,Empresario teatral (no administrativo),
,,1229,"Productor, cine",
,,1229,"Productor, de películas",
,,1229,"Productor, radio",
,,1229,"Productor, teatro",
,,1229,"Productor, televisión",
,,1229,"Rector, escuela superior",
,,1229,Regidor teatro,
,,1231,Directores de departamentos financieros y administrativos,
,,1231,Director de departamento de administración,
,,1231,Director de departamento de contabilidad,
,,1231,Director de departamento de presupuesto,
,,1231,"Secretario, empresa",
,,1231,"Sobrecargo, barco",
,,1232,Directores de departamentos de personal y de relaciones laborales,
,,1232,Administrador de personal,
,,1232,Director de departamento de personal,
,,1232,Director de departamento de relaciones laborales,
,,1232,Encargado de personal,
,,1232,Jefe de personal,
,,1232,Jefe de personal de empresa,
,,1233,Directores de departamentos de ventas y de comercialización,
,,1233,Director de departamento de comercialización,
,,1233,Director de departamento de ventas,
,,1233,Director de departamento de ventas / organización,
,,1234,Directores de departamentos de publicidad y de relaciones públicas,
,,1234,Director de departamento de publicidad,
,,1234,Director de departamento de relaciones públicas,
,,1235,Directores de departamentos de abastecimiento y distribución,
,,1235,Director de departamento de abastecimiento,
,,1235,Director de departamento de almacenamiento,
,,1235,Director de departamento de compras,
,,1235,Director de departamento de distribución,
,,1236,Directores de departamentos de servicios de informática,
,,1236,Director de departamento de informática,
,,1237,Directores de departamentos de investigaciones y desarrollo,
,,1237,Director de departamento de investigación y desarrollo,
,,1239,"Directores de departamentos, no clasificados bajo otros epígrafes",
,,1311,"Gerentes de empresas de agricultura, caza, silvicultura y pesca",
,,1311,Administrador de finca,
,,1311,"Capataz, finca",
,,1311,Gerente de agricultura,
,,1311,Gerente de caza,
,,1311,Gerente de explotación forestal,
,,1311,Gerente de pesca,
,,1311,Gerente de silvicultura,
,,1311,Mayordomo de finca,
,,1312,Gerentes de industrias manufactureras,
,,1312,Director de empresa manufacturera,
,,1312,Dueño de empresa manufacturera,
,,1312,Gerente de industria manufacturera,
,,1312,Sub-gerente de empresa manufacturera,
,,1313,Gerentes de empresas de construcción y obras públicas,
,,1313,Gerente de construcción,
,,1314,Gerentes de comercio mayorista y minorista,
,,1314,Comerciante mayorista,
,,1314,Comerciante minorista,
,,1314,Comerciante por mayor y menor,
,,1314,"Gerente de comercio al mayor, gasolina y combustibles",
,,1314,Gerente de comercio mayorista / exportación,
,,1314,Gerente de comercio mayorista / importación,
,,1314,Gerente de comercio minorista / cadena de almacenes,
,,1314,Gerente de comercio minorista / tienda,
,,1314,Gerente de comercio minorista / tienda (venta por correo),
,,1314,Gerente de comercio minorista / tienda (ventas con descuentos),
,,1314,Gerente de comercio minorista / tiendas (autoservicio),
,,1314,Gerente de tienda,
,,1314,Gerente de ventas de vehículos a motor y accesorios,
,,1315,Gerentes de empresas de restauración y hostelería,
,,1315,Administrador de hospital privado,
,,1315,Administrador de hotel,
,,1315,Administrador de motel,
,,1315,Administrador de restaurante,
,,1315,Dueño de billar,
,,1315,Dueño de cantina,
,,1315,Dueño de casa de empeño (montepío),
,,1315,Dueño de casa de huéspedes,
,,1315,Dueño de club nocturno,
,,1315,Dueño de comedor,
,,1315,Dueño de garaje,
,,1315,Dueño de hotel,
,,1315,Dueño de lavandería,
,,1315,Dueño de motel,
,,1315,Dueño de parqueo,
,,1315,Dueño de pensión,
,,1315,Dueño de restaurante,
,,1315,Gerente de albergue / jóvenes,
,,1315,Gerente de bar,
,,1315,Gerente de café,
,,1315,Gerente de campamento / vacaciones,
,,1315,Gerente de cantina / empresa,
,,1315,Gerente de casa de huéspedes,
,,1315,Gerente de fonda,
,,1315,Gerente de funeraria,
,,1315,Gerente de hostelería,
,,1315,Gerente de hotel,
,,1315,Gerente de lavandería,
,,1315,Gerente de meson,
,,1315,Gerente de motel,
,,1315,Gerente de parque de caravanas,
,,1315,Gerente de pensión,
,,1315,Gerente de restauración,
,,1315,Gerente de restaurante,
,,1315,Gerente de restaurante / autoservicio,
,,1315,Gerente de restaurante / bar,
,,1315,Gerente de snack-bar,
,,1315,Gerente de taberna,
,,1315,Gerente de televisora,
,,1315,Hotelero,
,,1315,Mesonero,
,,1315,"Propietario, comedor",
,,1315,"Propietario, cualquier servicio público n. C. O.",
,,1315,"Propietario, estación de radio",
,,1315,Restaurador,
,,1316,"Gerentes de empresas de transportes, almacenamiento y comunicaciones",
,,1316,Dueño de empresa de transporte,
,,1316,Dueño de taxi,
,,1316,Dueño de transporte,
